index,bunch,leftSprite,leftName,rightSprite,rightName,effect,content,sound,note
1,0,,,HedonFaceDefault,헤돈,,나중에 혼쭐이 나겠군…,,
2,0,Knight1FaceAh,주인공,,,,아니야. 경비병 아저씨들도 되게 봐주면서 싸우더만.,,
3,0,Knight1FaceAh,주인공,,,,분명 나한테 장로님만 심각한거라니까?,,
4,0,Knight1FaceAh,주인공,,,,으앗!,,
5,0,,,BatDefault,???,,키에엑!,,
6,0,HedonFaceSigh,헤돈,,,,몬스터!? 이런곳에?,,
7,1,,,,,,분명 숲에 사는 녀셕들인데…,,
8,1,Knight1FaceDefault,주인공,,,,더더욱 숲이 수상하지?,,
9,1,,,PreaFaceAngry,플레아,,찾았다…,,
10,1,HedonFaceSigh,헤돈,,,,플… 플레아님!,,
11,1,Knight1FaceDefault,주인공,,,,오!,,
12,1,Knight1FaceDefault,주인공,,,,딱 좋아!,,
13,1,HedonFaceSigh,헤돈,,,,뭐… 뭐가 좋다는거냐?,,
14,1,Knight1FaceDefault,주인공,,,,플레아님 정도면 우리 보호자로 딱 좋지!,,
15,1,,,PreaFaceAngry,플레아,,뭐?,,
16,1,Knight1FaceDefault,주인공,,,,몬스터들이 마을까지 돌아다니는 것을 보면 분명 모리아 숲에 무슨 일이 일어난거예요!,,
17,1,Knight1FaceDefault,주인공,,,,우리가 정찰을 가는 김에 플레아님도 바람 쐬고 오시는거죠!,,
18,1,,,PreaFaceAngry,플레아,,그런 정찰은 너희가 안해도 돼!,,
19,2,,,PreaFaceAngry,플레아,,실력도 좋은 녀셕들이… 얼른 돌아가!,,
20,2,Knight1FaceDefault,주인공,,,,플레아님 정도면 그냥 우리를 때려눕히면 되잖아요!,,
21,2,,,PreaFaceAngry,플레아,,때려눕혀도 말은 안들을거잖아!,,
22,2,,,BatDefault,???,,키에엑!,,
23,2,PreaFaceAngry,플레아,,,,이건 왜 갑자기 여기서 나와?,,
24,2,Knight1FaceDefault,주인공,,,,그렇죠! 이상하죠!,,
25,-1,,,PreaFaceAngry,플레아,,흠… 모리아 숲에 사는 몬스터가…,,
26,-1,Knight1FaceDefault,주인공,,,,조사를 해야하지 않겠어요?,,
27,-1,,,PreaFaceAngry,플레아,,명분도 있겠다. 이번만이야.,,
28,-1,Knight1FaceDefault,주인공,,,,후후후 고마워요!,,
